datesold,price
2007-03-01,0.25679864969543764
2007-04-01,0.38525878399612956
2007-05-01,1.000000000001e-06
2007-06-01,0.17755893992372127
2007-07-01,0.5670743436536715
2007-08-01,0.12666623251038164
2007-09-01,0.16378651756278803
2007-10-01,0.0008296319232944105
2007-11-01,0.30125769137268754
2007-12-01,0.07097097953085449
2008-01-01,0.16331236339499963
2008-02-01,0.12196481553283864
2008-03-01,0.29348369711927524
2008-04-01,0.046619964587779034
2008-05-01,0.2592056524172176
2008-06-01,0.1525965584643519
2008-07-01,0.080216917735174
2008-08-01,0.0669542018219563
2008-09-01,0.24888125044744566
2008-10-01,0.151748654007389
2008-11-01,0.2188740239671024
2008-12-01,0.07213423378868886
2009-01-01,0.14211021689088707
2009-02-01,0.123800579378014
2009-03-01,0.3068626103516142
2009-04-01,0.09453228153430868
2009-05-01,0.1392098941722669
2009-06-01,0.25187092427991764
2009-07-01,0.14027601320189906
2009-08-01,0.11340749069907549
2009-09-01,0.20067455750063243
2009-10-01,0.2131971869648098
2009-11-01,0.1554841586452945
2009-12-01,0.2120301142541344
2010-01-01,0.06278724703671021
2010-02-01,0.28869121686956845
2010-03-01,0.08431517120462825
2010-04-01,0.26562800630327466
2010-05-01,0.1290262476984346
2010-06-01,0.08767452187505217
2010-07-01,0.21258590346992076
2010-08-01,0.1738845858412049
2010-09-01,0.17398543252483098
2010-10-01,0.2034670486909683
2010-11-01,0.12465807955591476
2010-12-01,0.17266070096442906
2011-01-01,0.05524622179157465
2011-02-01,0.25455437687847293
2011-03-01,0.19833389132899346
2011-04-01,0.10635481882154604
2011-05-01,0.21292995181508342
2011-06-01,0.26188055503939267
2011-07-01,0.052669007103305215
2011-08-01,0.17867071315211622
2011-09-01,0.1093822598119186
2011-10-01,0.14216503702505787
2011-11-01,0.22366123369578159
2011-12-01,0.07579029542536272
2012-01-01,0.16884190527098117
2012-02-01,0.19802696442882603
2012-03-01,0.143492960374039
2012-04-01,0.14330587036905737
2012-05-01,0.16258706908846396
2012-06-01,0.15411505985445192
2012-07-01,0.2215890075540433
2012-08-01,0.07066343860444388
2012-09-01,0.2878736009382291
2012-10-01,0.1455894118526214
2012-11-01,0.18081492030864407
2012-12-01,0.11302025314364603
2013-01-01,0.13289601736475806
2013-02-01,0.14483648000599633
2013-03-01,0.23449186544189868
2013-04-01,0.13759956661595826
2013-05-01,0.17105869987679764
2013-06-01,0.10853835345161475
2013-07-01,0.2136018903765898
2013-08-01,0.09073524032037636
2013-09-01,0.18690899347307063
2013-10-01,0.22924227307832087
2013-11-01,0.09634433900894987
2013-12-01,0.2280458317603465
2014-01-01,0.10259630274413642
2014-02-01,0.1847260200316033
2014-03-01,0.18489150166734167
2014-04-01,0.13650754343165059
2014-05-01,0.2144590634674842
2014-06-01,0.09352238506563001
2014-07-01,0.1729852615962145
2014-08-01,0.21525201394566093
2014-09-01,0.1080564653250605
2014-10-01,0.20492981401246166
2014-11-01,0.1933884405526641
2014-12-01,0.13953673753993176
2015-01-01,0.06839693364288987
2015-02-01,0.23705609678351255
2015-03-01,0.2810386074265264
2015-04-01,0.05988527624721737
2015-05-01,0.24328250578787877
2015-06-01,0.044071877104887885
2015-07-01,0.1882288063152043
2015-08-01,0.21145235890085243
2015-09-01,0.11749473260391316
2015-10-01,0.24582170278050594
2015-11-01,0.17320415219236626
2015-12-01,0.13171890846307907
2016-01-01,0.065467031675534
2016-02-01,0.243516477236377
2016-03-01,0.17563413667168856
2016-04-01,0.18837767909382994
2016-05-01,0.08619090747177158
2016-06-01,0.1877514079639376
2016-07-01,0.18015194991861957
2016-08-01,0.16395876537674678
2016-09-01,0.2758865580710549
2016-10-01,0.05342977719576755
2016-11-01,0.31139196616800013
2016-12-01,0.07049214535772994
2017-01-01,0.018853670467500944
2017-02-01,0.322686253500751
2017-03-01,0.16544119532490317
2017-04-01,0.16773976571954638
2017-05-01,0.1595320406739774
2017-06-01,0.14324795608936366
2017-07-01,0.15138688728190428
2017-08-01,0.16137224146436932
2017-09-01,0.17957936508201552
2017-10-01,0.13912769008603906
2017-11-01,0.21554413445881235
2017-12-01,0.14753214450625304
2018-01-01,0.10987827761427912
2018-02-01,0.21622355977142402
2018-03-01,0.16584483280570592
2018-04-01,0.18615583569840485
2018-05-01,0.13796630096611903
2018-06-01,0.13250408080403528
2018-07-01,0.18408882142239488
2018-08-01,0.16636802655150337
2018-09-01,0.16381440906272968
2018-10-01,0.16475193829533627
2018-11-01,0.14015319831580694
2018-12-01,0.21412110656774783
2019-01-01,0.12611243040805395
2019-02-01,0.1285226817061503
2019-03-01,0.1887794934265273
2019-04-01,0.17754672742363806
2019-05-01,0.11720097646580716
2019-06-01,0.20816061349899403
2019-07-01,0.10864307940797321
